tournamentID,tounamentDate,tournamentTitle,playerCount,playerCountCategory,country
dragonct-shimmering-skies-championship-tournament-decks-1580,2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES
shimmering-skies-set-championship-gamezenter-tournament-decks-1579,2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US
njds-tournament-3-tournament-decks-1576,2024-10-13,NJDS Tournament #3,53,33 - 64,FR
championnat-de-set-ciel-scintillant-tournament-decks-1575,2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR
lud-m-set-championship-montpellier-tournament-decks-1574,2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR
set-champs-tournament-decks-1573,2024-10-13,Set Champs,23,17 - 32,IT
set-5-championship-ludwigsburg-tournament-decks-1572,2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE
shimmering-skies-store-championship-tournament-decks-1571,2024-10-13,Shimmering Skies Store Championship,15,0 - 16,FR
game-nite-shimmering-skies-set-championship-tournament-decks-1570,2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US
le-troll-savant-championnat-ciel-scintillant-tournament-decks-1542,2024-10-13,Le Troll Savant - Championnat Ciel Scintillant,24,17 - 32,FR
shimmering-skies-championship-mindstage-norrkoping-tournament-decks-1519,2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE
shimmering-skies-set-championship-tournament-decks-1675,2024-10-12,Shimmering Skies - Set Championship,10,0 - 16,AT
championship-cieli-scintillanti-dadi-e-mattoncini-torino-tournament-decks-1634,2024-10-12,Championship Cieli Scintillanti - Dadi e Mattoncini Torino,14,0 - 16,IT
shimmering-skies-championship-tournament-decks-1618,2024-10-12,Shimmering Skies Championship,30,17 - 32,US
shimmering-skies-store-championship-tournament-decks-1615,2024-10-12,Shimmering Skies Store Championship!,19,17 - 32,US
shimmering-skies-champ-set-tournament-decks-1613,2024-10-12,Shimmering Skies Champ Set,30,17 - 32,ES
championnat-de-set-ciel-scintillant-tournament-decks-1612,2024-10-12,Championnat de set Ciel Scintillant,33,33 - 64,FR
championnat-de-set-ciel-scintillant-des-rires-des-jeux-tournament-decks-1609,2024-10-12,Championnat de Set Ciel Scintillant Dés Rires & des Jeux,24,17 - 32,FR
epic-loot-shimmering-skies-set-championship-tournament-decks-1599,2024-10-12,Epic Loot Shimmering Skies Set Championship,15,0 - 16,US
shimmering-skys-store-champs-tournament-decks-1595,2024-10-12,SHIMMERING SKYS STORE CHAMPS,23,17 - 32,GB
shimmering-skies-set-championship-tournament-decks-1594,2024-10-12,Shimmering Skies - Set Championship,8,0 - 16,AT
hoover-s-cards-tournament-decks-1592,2024-10-12,Hoover's Cards,24,17 - 32,CA
express-tcg-shimmering-skies-set-championship-tournament-decks-1591,2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US
lorcana-shimmering-skies-store-championship-tournament-decks-1589,2024-10-12,Lorcana Shimmering Skies Store Championship,14,0 - 16,US
ogres-den-set-championship-tournament-decks-1587,2024-10-12,Ogres Den Set Championship,20,17 - 32,CA
rebellion-store-championship-shimmering-skies-tournament-decks-1583,2024-10-12,Rebellion Store Championship · Shimmering Skies,25,17 - 32,ES
lorcana-shimmering-skies-championship-tournament-decks-1578,2024-10-12,Lorcana Shimmering Skies Championship,20,17 - 32,US
shimmering-skies-store-championship-tournament-decks-1569,2024-10-12,Shimmering Skies Store Championship,14,0 - 16,GB
shimmering-skies-set-championship-tournament-decks-1568,2024-10-12,Shimmering Skies Set Championship,13,0 - 16,GB
championnat-de-set-ciel-scintillant-tournament-decks-1567,2024-10-12,Championnat de set Ciel Scintillant,21,17 - 32,FR
tier-1-games-shimmering-skies-set-championships-tournament-decks-1566,2024-10-12,Tier 1 Games Shimmering Skies Set Championships,27,17 - 32,US
shimmering-skies-championship-coliseum-of-comics-east-colonial-tournament-decks-1564,2024-10-12,Shimmering Skies Championship - Coliseum of Comics - East Colonial,26,17 - 32,US
shimmering-skies-set-championships-tournament-decks-1563,2024-10-12,Shimmering Skies Set Championships,19,17 - 32,US
lorcana-shimmering-skies-championship-linkoping-tournament-decks-1560,2024-10-12,Lorcana Shimmering Skies Championship - LINKÖPING,16,0 - 16,SE
core-constructed-tournament-tournament-decks-1673,2024-10-11,Core Constructed Tournament,24,17 - 32,IT
win-box-cieli-scintillanti-tournament-decks-1550,2024-10-09,Win  Box Cieli Scintillanti,18,17 - 32,IT
south-florida-lorcana-network-10-9-locals-swiss-results-tournament-decks-1545,2024-10-09,South Florida Lorcana Network 10/9 Locals - Swiss Results,19,17 - 32,US
ligue-lorcana-troll-savant-tournament-decks-1541,2024-10-08,Ligue Lorcana Troll Savant,6,0 - 16,FR
store-championship-cieli-scintillanti-tournament-decks-1691,2024-10-06,Store Championship Cieli scintillanti,28,17 - 32,IT
disney-lorcana-shimmering-skies-championship-gemini-games-game-tournament-decks-1658,2024-10-06,Disney Lorcana Shimmering Skies Championship @ Gemini Games Game,16,0 - 16,US
grapes-games-shimmering-skies-set-championship-tournament-decks-1602,2024-10-06,Grapes Games Shimmering Skies Set Championship,36,33 - 64,US
championship-cieli-scintillanti-tournament-decks-1555,2024-10-06,Championship Cieli Scintillanti,12,0 - 16,IT
shimmering-skies-championship-andycards-tournament-decks-1553,2024-10-06,Shimmering Skies Championship - Andycards,9,0 - 16,IT
shimmering-skies-championship-libertalia-tournament-decks-1551,2024-10-06,Shimmering Skies Championship - Libertalia,49,33 - 64,ES
shimmering-skies-championship-tournament-decks-1540,2024-10-06,Shimmering Skies Championship,33,33 - 64,US
spielbound-shimmering-skies-championship-tournament-decks-1539,2024-10-06,Spielbound  Shimmering Skies Championship,23,17 - 32,US
shimmering-skies-championship-tournament-decks-1538,2024-10-06,Shimmering Skies Championship,22,17 - 32,US
game-kastle-greenville-shimmering-skies-championship-tournament-decks-1536,2024-10-06,Game Kastle Greenville : Shimmering Skies Championship,30,17 - 32,US
kapow-comics-and-games-shimmering-skies-championship-tournament-decks-1535,2024-10-06,Kapow Comics and Games Shimmering Skies Championship,24,17 - 32,US
ppg-shimmering-skies-championship-tournament-decks-1532,2024-10-06,PPG Shimmering Skies Championship,28,17 - 32,US
wildcardcyclone-lorcana-shimmering-skies-store-championship-tournament-decks-1531,2024-10-06,Wildcardcyclone Lorcana Shimmering Skies Store Championship,38,33 - 64,US
grapes-games-shimmering-skies-set-championship-tournament-decks-1530,2024-10-06,Grapes Games Shimmering Skies Set Championship,36,33 - 64,US
la-cienaga-hobby-shop-shimmering-skies-championship-tournament-decks-1518,2024-10-06,La Ciénaga Hobby Shop "Shimmering Skies Championship",29,17 - 32,ES
battle-bear-set-championship-1-kaiserslautern-tournament-decks-1517,2024-10-06,Battle-Bear Set CHampionship 1 Kaiserslautern,40,33 - 64,DE
set-championship-furstenfeldbruck-tournament-decks-1516,2024-10-06,Set Championship Fürstenfeldbruck,34,33 - 64,DE
board-game-paradise-shimmering-skies-set-championship-tournament-decks-1515,2024-10-06,Board Game Paradise Shimmering Skies Set Championship,25,17 - 32,US
flash-cards-shimmering-skies-championship-tournament-decks-1512,2024-10-06,Flash-Cards - Shimmering Skies Championship,40,33 - 64,BE
weatherlight-games-shimmering-skies-championship-tournament-decks-1672,2024-10-05,Weatherlight Games - Shimmering Skies Championship,21,17 - 32,PT
shimmering-skies-store-championship-tournament-decks-1617,2024-10-05,Shimmering Skies Store Championship,33,33 - 64,US
shimmering-skies-championship-decks-and-dice-tournament-decks-1565,2024-10-05,Shimmering Skies Championship - Decks and Dice,30,17 - 32,US
championship-cieli-scintillanti-games-academy-messina-tournament-decks-1559,2024-10-05,Championship – Cieli Scintillanti GAMES ACADEMY MESSINA,20,17 - 32,IT
championship-cieli-scintillanti-tournament-decks-1558,2024-10-05,Championship – Cieli Scintillanti,11,0 - 16,IT
championship-cieli-scintillanti-level-up-tournament-decks-1557,2024-10-05,Championship – Cieli Scintillanti Level Up,10,0 - 16,IT
championship-cieli-scintillanti-hall-of-game-tournament-decks-1556,2024-10-05,Championship – Cieli Scintillanti Hall of Game,12,0 - 16,IT
championship-cieli-scintillanti-kaleidon-tournament-decks-1554,2024-10-05,Championship – Cieli Scintillanti Kaleidon,19,17 - 32,IT
shimmering-skies-championship-ravenna-lorcana-tournament-decks-1552,2024-10-05,Shimmering Skies Championship Ravenna Lorcana,10,0 - 16,IT
wildfire-set-championship-lorcana-league-tournament-decks-1549,2024-10-05,Wildfire Set Championship Lorcana League,34,33 - 64,IT
shimmering-skies-set-championship-tournament-decks-1537,2024-10-05,Shimmering Skies - Set Championship,12,0 - 16,AT
disney-lorcana-shimmering-skies-set-championship-tournament-decks-1534,2024-10-05,Disney Lorcana Shimmering Skies Set Championship,26,17 - 32,US
shimmering-skies-store-championship-tournament-decks-1529,2024-10-05,Shimmering Skies Store Championship,38,33 - 64,US
lorcana-shop-championship-tournament-decks-1528,2024-10-05,Lorcana Shop Championship,19,17 - 32,US
miami-tcg-tournament-decks-1527,2024-10-05,Miami Tcg,28,17 - 32,US
alter-ego-shimmering-skies-championship-tournament-decks-1526,2024-10-05,Alter Ego Shimmering Skies Championship,21,17 - 32,US
lorcana-set-5-shimmering-skies-store-championships-tournament-decks-1525,2024-10-05,Lorcana Set 5 Shimmering Skies Store Championships,20,17 - 32,GB
shimmering-skies-set-championship-tournament-decks-1524,2024-10-05,Shimmering Skies Set Championship,16,0 - 16,US
spieldurst-himmelsleuchten-setmeisterschaft-tournament-decks-1523,2024-10-05,Spieldurst - Himmelsleuchten-Setmeisterschaft,24,17 - 32,DE
shimmering-skies-set-championship-tournament-decks-1521,2024-10-05,Shimmering Skies - Set Championship,39,33 - 64,AT
shimmering-skies-championship-tournament-decks-1520,2024-10-05,Shimmering Skies Championship,21,17 - 32,AT
top-choice-gaming-shimmering-skies-set-championships-tournament-decks-1514,2024-10-05,Top Choice Gaming Shimmering Skies Set Championships,32,33 - 64,US
augusta-book-exchange-shimmering-skies-set-championship-tournament-decks-1513,2024-10-05,Augusta Book Exchange- Shimmering Skies Set Championship,24,17 - 32,US
shimmering-skies-store-championship-tournament-decks-1511,2024-10-05,Shimmering skies store championship,17,17 - 32,US
shimmering-skies-set-champs-tournament-decks-1510,2024-10-05,Shimmering Skies Set Champs,19,17 - 32,CA
shimmering-skies-set-championship-tournament-decks-1509,2024-10-05,Shimmering Skies Set Championship,18,17 - 32,DE
saturday-2k-scg-con-washington-dc-tournament-decks-1507,2024-10-05,Saturday $2K - SCG CON Washington DC,26,17 - 32,US
shimmering-skies-set-championship-tournament-decks-1506,2024-10-05,Shimmering Skies Set Championship,32,33 - 64,US
shimmering-skies-store-championship-tournament-decks-1505,2024-10-05,Shimmering Skies Store Championship,26,17 - 32,PT
excalibur-set-championship-montpellier-tournament-decks-1503,2024-10-05,Excalibur Set Championship (Montpellier),24,17 - 32,FR
