date,tournamenttitle,players,playercategory,country,rank,archetype,color,top1,top2,top4,top8,top16,top32
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Relentless Damage,emerald/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Cogsworth & Friends,sapphire/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top16,Bounce,amethyst/emerald,0,0,0,0,1,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top32,Cogsworth & Friends,sapphire/steel,0,0,0,0,0,1
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top32,Bounce,amethyst/emerald,0,0,0,0,0,1
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top32,,sapphire/steel,0,0,0,0,0,1
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top32,,ruby/steel,0,0,0,0,0,1
2024-10-12,Epic Loot Shimmering Skies Set Championship,15,0 - 16,US,Top4,Songs,amber/ruby,0,0,1,0,0,0
2024-10-12,SHIMMERING SKYS STORE CHAMPS,23,17 - 32,GB,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-12,Shimmering Skies - Set Championship,8,0 - 16,AT,1st,Classic Bounce,amethyst/steel,1,0,0,0,0,0
2024-10-12,Shimmering Skies - Set Championship,8,0 - 16,AT,2nd,Jafar Wheel,amethyst/steel,0,1,0,0,0,0
2024-10-12,Shimmering Skies - Set Championship,8,0 - 16,AT,3rd,Bounce,amethyst/emerald,0,0,1,0,0,0
2024-10-12,Shimmering Skies - Set Championship,8,0 - 16,AT,Top4,Sisu on Ice,ruby/sapphire,0,0,1,0,0,0
2024-10-12,Hoover's Cards,24,17 - 32,CA,1st,Sisu on Ice,ruby/sapphire,1,0,0,0,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,1st,Discard Aggro,emerald/steel,1,0,0,0,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,2nd,Discard Aggro,emerald/steel,0,1,0,0,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,Top4,Ramp Draw Control,amethyst/sapphire,0,0,1,0,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,Top8,Bounce,amber/amethyst,0,0,0,1,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,Top8,Bounce,amber/amethyst,0,0,0,1,0,0
2024-10-12,Express TCG- Shimmering Skies Set Championship,24,17 - 32,US,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
