Event,Team,Round,Table,Pairing,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw
Qualification,IllumineersRN,9,1,B,Swordinator,Amethyst Sapphire,TeamTintenvorrat,PusherGene,Amethyst Steel,Draw
Qualification,IllumineersRN,9,1,C,TopChicken,Amethyst Steel,TeamTintenvorrat,LeXtreme,Amethyst Sapphire,Play
Qualification,IllumineersRN,9,1,D,shinobi64,Amethyst Sapphire,TeamTintenvorrat,CNTPD,Emerald Sapphire,Draw
Qualification,IllumineersRN,11,1,A,Swordinator,Amethyst Sapphire,TeamTotaHahn,FloriansJade,Amethyst Sapphire,Draw
Qualification,IllumineersRN,11,1,B,TopChicken,Amethyst Steel,TeamTotaHahn,Suminy,Amethyst Sapphire,Play
Qualification,IllumineersRN,11,1,C,ITfairy,Ruby Steel,TeamTotaHahn,crazyetwas,Emerald Steel,Draw
Qualification,IllumineersRN,11,1,D,keo,Amethyst Steel,TeamTotaHahn,Hendrik,Amethyst Steel,Play
Qualification,InkCrows,1,2,A,Rafa,Amethyst Sapphire,InkSquad,DerVierteHokage,Amethyst Steel,Draw
Qualification,InkCrows,1,2,B,Duy,Amethyst Sapphire,InkSquad,LauchMitBauch,Amber Steel,Play
Qualification,InkCrows,1,2,C,Johny,Amethyst Steel,InkSquad,Harrydoter,Amethyst Steel,Draw
Qualification,InkCrows,1,2,D,Trois,Emerald Sapphire,InkSquad,Telkas,Emerald Steel,Play
Qualification,IllumineersRN,2,2,A,keo,Amethyst Steel,HardcastLorcanaClub,Kinbo,Sapphire Steel,Play
Qualification,IllumineersRN,2,2,B,Swordinator,Amethyst Sapphire,HardcastLorcanaClub,Green,Amethyst Steel,Draw
Qualification,IllumineersRN,2,2,C,TopChicken,Amethyst Steel,HardcastLorcanaClub,CeeGee,Amethyst Sapphire,Play
Qualification,IllumineersRN,2,2,D,shinobi64,Amethyst Sapphire,HardcastLorcanaClub,Tracker,Amethyst Sapphire,Draw
Qualification,IllumineersRN,3,2,A,keo,Amethyst Steel,DarkWings,MarsiDarsi,Amethyst Steel,Play
Qualification,IllumineersRN,3,2,B,ITfairy,Ruby Steel,DarkWings,Secret,Amber Emerald,Draw
Qualification,IllumineersRN,3,2,C,Swordinator,Amethyst Sapphire,DarkWings,Chupa,Amethyst Sapphire,Play
Qualification,IllumineersRN,3,2,D,shinobi64,Amethyst Sapphire,DarkWings,Tommydo0,Emerald Sapphire,Draw
Qualification,PlayingDucks,4,2,A,Promisedland,Amethyst Sapphire,DarkWings,Vanni,Amethyst Sapphire,Play
Qualification,PlayingDucks,4,2,B,Nachtgeist,Amethyst Sapphire,DarkWings,Percy,Amethyst Steel,Draw
Qualification,PlayingDucks,4,2,C,Haertelus,Amethyst Sapphire,DarkWings,Chupa,Amethyst Sapphire,Play
Qualification,PlayingDucks,4,2,D,Nils,Amethyst Steel,DarkWings,Tommydo0,Emerald Sapphire,Draw
Qualification,IllumineersRN,5,2,A,Swordinator,Amethyst Sapphire,TeamSecretRare,Membis,Amethyst Steel,Draw
Qualification,IllumineersRN,5,2,B,keo,Amethyst Steel,TeamSecretRare,Quabatchie,Amethyst Sapphire,Play
Qualification,IllumineersRN,5,2,C,ITfairy,Ruby Steel,TeamSecretRare,BBop,Amber Steel,Draw
Qualification,IllumineersRN,5,2,D,TopChicken,Amethyst Steel,TeamSecretRare,Mohoo,Amethyst Sapphire,Play
Qualification,TeamSecretRare,6,2,A,Membis,Amethyst Steel,InkCrows,Rafa,Amethyst Sapphire,Play
Qualification,TeamSecretRare,6,2,B,BBop,Amber Steel,InkCrows,Duy,Amethyst Sapphire,Draw
Qualification,TeamSecretRare,6,2,C,Mohoo,Amethyst Sapphire,InkCrows,Tony,Amethyst Emerald,Play
Qualification,TeamSecretRare,6,2,D,Quabatchie,Amethyst Sapphire,InkCrows,Trois,Emerald Sapphire,Draw
Qualification,DarkWings,7,2,A,Vanni,Amethyst Sapphire,TeamInkognito,xSolutionx,Amethyst Sapphire,Draw
Qualification,DarkWings,7,2,B,Chupa,Amethyst Sapphire,TeamInkognito,Crosseden,Amber Emerald,Play
Qualification,DarkWings,7,2,C,MarsiDarsi,Amethyst Steel,TeamInkognito,Bananza,Amethyst Steel,Draw
Qualification,DarkWings,7,2,D,Tommydo0,Emerald Sapphire,TeamInkognito,Sayman,Ruby Sapphire,Play
Qualification,IllumineersRN,8,2,A,Swordinator,Amethyst Sapphire,TeamInkognito,Carrier,Ruby Amethyst,Draw
Qualification,IllumineersRN,8,2,B,keo,Amethyst Steel,TeamInkognito,Sayman,Ruby Sapphire,Play
Qualification,IllumineersRN,8,2,C,shinobi64,Amethyst Sapphire,TeamInkognito,xSolutionx,Amethyst Sapphire,Draw
Qualification,IllumineersRN,8,2,D,TopChicken,Amethyst Steel,TeamInkognito,Bananza,Amethyst Steel,Play
Qualification,7Serpents,9,2,A,InkModeOn,Amethyst Steel,Der_Mushu_Clan,JARL,Emerald Sapphire,Draw
Qualification,7Serpents,9,2,B,Andi1066,Emerald Sapphire,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Play
Qualification,7Serpents,9,2,C,LucyCat,Amethyst Steel,Der_Mushu_Clan,pwnTom,Amber Steel,Draw
Qualification,7Serpents,9,2,D,McLovin,Amber Emerald,Der_Mushu_Clan,K0rshy,Sapphire Steel,Play
Qualification,DarkWings,10,2,A,Till,Amethyst Sapphire,Der_Mushu_Clan,JARL,Emerald Sapphire,Draw
Qualification,DarkWings,10,2,B,Tommydo0,Emerald Sapphire,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Play
Qualification,DarkWings,10,2,C,MarsiDarsi,Amethyst Steel,Der_Mushu_Clan,pwnTom,Amber Steel,Draw
Qualification,DarkWings,10,2,D,Percy,Amethyst Steel,Der_Mushu_Clan,K0rshy,Sapphire Steel,Play
Qualification,DarkWings,11,2,A,Percy,Amethyst Steel,MROsGlimmerGang,ruffy,Amethyst Sapphire,Play
Qualification,DarkWings,11,2,B,Corvus,Amethyst Steel,MROsGlimmerGang,ZenTera,Amber Emerald,Draw
Qualification,DarkWings,11,2,C,Chupa,Amethyst Sapphire,MROsGlimmerGang,DanW15,Amber Emerald,Play
Qualification,DarkWings,11,2,D,Till,Amethyst Steel,MROsGlimmerGang,Maxing,Emerald Sapphire,Draw
Qualification,DarkWings,12,2,A,Vanni,Amethyst Sapphire,TeamTintenvorrat,BarisF2,Ruby Amethyst,Draw
Qualification,DarkWings,12,2,B,Secret,Amber Emerald,TeamTintenvorrat,PusherGene,Amethyst Steel,Play
Qualification,DarkWings,12,2,C,Corvus,Amethyst Steel,TeamTintenvorrat,CuddlesomeTiger,Amber Steel,Draw
Qualification,DarkWings,12,2,D,Percy,Amethyst Steel,TeamTintenvorrat,CNTPD,Emerald Sapphire,Play
Qualification,TeamMulligan,1,3,A,Toadsen,Emerald Sapphire,TeamMyTradingCards,ChuckMoritz,Amethyst Sapphire,Draw
Qualification,TeamMulligan,1,3,B,Rawwkstar,Amber Steel,TeamMyTradingCards,MichiMaus,Amethyst Steel,Play
Qualification,TeamMulligan,1,3,C,Ronte,Amethyst Sapphire,TeamMyTradingCards,Smaro,Emerald Sapphire,Draw
Qualification,TeamMulligan,1,3,D,Schroedy,Emerald Steel,TeamMyTradingCards,Flamantha,Ruby Steel,Play
Qualification,DarkWings,2,3,A,Tommydo0,Emerald Sapphire,TeamFreilos,TuneZ,Amber Steel,Play
Qualification,DarkWings,2,3,B,MarsiDarsi,Amethyst Steel,TeamFreilos,Papierflieger,Emerald Sapphire,Draw
Qualification,DarkWings,2,3,C,Percy,Amethyst Sapphire,TeamFreilos,Webster,Amethyst Sapphire,Play
Qualification,DarkWings,2,3,D,Till,Amethyst Steel,TeamFreilos,DerKoch,Emerald Steel,Draw
Qualification,TeamTintenvorrat,3,3,A,CuddlesomeTiger,Amber Steel,TeamTotaHahn,Carrie,Amethyst Steel,Play
Qualification,TeamTintenvorrat,3,3,B,BarisF2,Ruby Amethyst,TeamTotaHahn,Granic,Amber Steel,Draw
Qualification,TeamTintenvorrat,3,3,C,LeXtreme,Amethyst Sapphire,TeamTotaHahn,FloriansJade,Amethyst Sapphire,Play
Qualification,TeamTintenvorrat,3,3,D,Younique,Amethyst Steel,TeamTotaHahn,Royal,Amber Steel,Draw
Qualification,IllumineersRN,4,3,A,ITfairy,Ruby Steel,Der_Mushu_Clan,pwnTom,Amber Steel,Draw
Qualification,IllumineersRN,4,3,B,keo,Amethyst Steel,Der_Mushu_Clan,K0rshy,Sapphire Steel,Play
Qualification,IllumineersRN,4,3,C,Swordinator,Amethyst Sapphire,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Draw
Qualification,IllumineersRN,4,3,D,TopChicken,Amethyst Steel,Der_Mushu_Clan,SarDestiny,Amethyst Sapphire,Play
Qualification,TeamTotaHahn,5,3,A,FloriansJade,Amethyst Sapphire,TeamInkognito,xSolutionx,Amethyst Sapphire,Draw
Qualification,TeamTotaHahn,5,3,B,crazyetwas,Emerald Steel,TeamInkognito,Bananza,Amethyst Steel,Play
Qualification,TeamTotaHahn,5,3,C,Hendrik,Amethyst Steel,TeamInkognito,Carrier,Ruby Amethyst,Draw
Qualification,TeamTotaHahn,5,3,D,Granic,Amber Steel,TeamInkognito,Crosseden,Amber Emerald,Play
Qualification,IllumineersRN,6,3,A,ITfairy,Ruby Steel,TeamPrepared,polyvulpes,Amber Steel,Draw
Qualification,IllumineersRN,6,3,B,keo,Amethyst Steel,TeamPrepared,goggelz,Amethyst Sapphire,Play
Qualification,IllumineersRN,6,3,C,Swordinator,Amethyst Steel,TeamPrepared,Samral,Amethyst Steel,Draw
Qualification,IllumineersRN,6,3,D,RandAlex,Amethyst Steel,TeamPrepared,WenrA,Amethyst Steel,Play
