Event,Date,Location,Meta,EventType,Type,PlayFormat,Melee
Online 2024-12-22,2024-12-22,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-12-26,2024-12-26,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2024-12-29,2024-12-29,Home,Set6,Casual,Constructed,BestOfThree,
Online 2024-12-30,2024-12-30,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-01,2025-01-01,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-02,2025-01-02,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-02,2025-01-02,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-02,2025-01-02,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/219362
Online 2025-01-03,2025-01-03,Home,Set6,Casual Online,Constructed,BestOfThree,
Liga 2025-01-03,2025-01-03,Ravensburger Store Mannheim,Set6,Liga,Constructed,BestOfThree,
Casual 2025-01-04,2025-01-04,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Multivitamin 2025 NY,2025-01-05,Home,Set6,Competetive,Constructed,BestOfThree,https://melee.gg/Tournament/View/209645
Casual 2025-01-06,2025-01-06,Home,Set6,Casual,Constructed,BestOfThree,
Casual 2025-01-07,2025-01-07,Home,Set6,Casual,Constructed,BestOfThree,
Online 2025-01-08,2025-01-08,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-08,2025-01-08,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-08,2025-01-08,Wizards Well,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/223862
Casual 2025-01-09,2025-01-09,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-09,2025-01-09,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/224812
JK Jahresende 2024,2025-01-11,Maintal,Set6,Competetive,Constructed,BestOfThree,https://melee.gg/Tournament/View/226513
Casual 2025-01-13,2025-01-13,Home,Set6,Casual,Constructed,BestOfThree,
Online 2025-01-13,2025-01-13,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-14,2025-01-14,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-15,2025-01-15,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-15,2025-01-15,Wizards Well,Set6,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/223863
Online 2025-01-16,2025-01-16,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-16,2025-01-16,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-16,2025-01-16,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/228594
Online 2025-01-17,2025-01-17,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-17,2025-01-17,Home,Set6,Casual,Constructed,BestOfThree,
Cool Azurblaues Meer Set Championship,2025-01-18,Cool Speyer,Set6,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/213415
Online 2025-01-20,2025-01-20,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-21,2025-01-21,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-21,2025-01-21,Home,Set6,Casual,Constructed,BestOfThree,
Casual 2025-01-22,2025-01-22,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-22,2025-01-22,Wizards Well,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/223864
Casual 2025-01-23,2025-01-23,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-23,2025-01-23,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/231876
Online 2025-01-24,2025-01-24,Home,Set6,Casual Online,Constructed,BestOfThree,
Spiele-Pyramide Azurblaues Meer Set Championship 1,2025-01-15,Spiele-Pyramide,Set6,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/226465
Online 2025-01-26,2025-01-26,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-27,2025-01-27,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-28,2025-01-28,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-28,2025-01-28,Home,Set6,Casual,Constructed,BestOfThree,
Online 2025-01-29,2025-01-29,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-29,2025-01-29,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Online 2025-01-30,2025-01-30,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-30,2025-01-30,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-30,2025-01-30,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/236239
Online 2025-01-31,2025-01-31,Home,Set6,Casual Online,Constructed,BestOfThree,
Neusser Azurblaues Meer Set Championship,2025-02-01,Spielwaren Neusser,Set6,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/216702
Wizards Azurblaues Meer Set Championship,2025-02-02,Wizards Well,Set6,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/203996
Casual 2025-02-03,2025-02-03,Home,Set6,Casual,Constructed,BestOfThree,
Online 2025-02-04,2025-02-04,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-02-04,2025-02-04,Home,Set6,Casual,Constructed,BestOfThree,
Online 2025-02-05,2025-02-05,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-02-05,2025-02-05,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2025-02-05,2025-02-05,Wizards Well,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/238858
Casual 2025-02-06,2025-02-06,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-02-06,2025-02-06,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/238956
Online 2025-02-07,2025-02-07,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-02-07,2025-02-07,Home,Set6,Casual,Constructed,BestOfThree,
Card Club Azurblaues Meer Set Championship,2025-02-08,Card Club Hockenheim,Set6,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/211531
Casual 2025-02-12,2025-02-12,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Casual 2025-02-13,2025-02-13,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
